period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
21,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4.271771771771771,4.271771771771771,0.5983807021307023,0.0,-0.0,0.0,0.0,105.0
22,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-5.022522522522522,5.022522522522522,0.5928251465751467,0.0,-0.0,0.0,0.0,105.0
23,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.9684684684684726,0.9684684684684726,0.5872695910195912,0.0,-0.0,0.0,0.0,105.0
24,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,1.5840840840840844,0.0,0.0,0.0,1.5840840840840844,0.0,0.5817140354640357,0.0,-0.0,0.0,0.0,105.0
25,4.0,0.6,17.28395061728395,38.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,-2.3654654654654657,2.3654654654654657,0.5761584799084801,0.0,-0.0,0.0,0.0,70.0
26,1.8623354537332992,0.2793503180599949,17.28395061728395,40.85371392898275,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.43386289515321863,0.43386289515321863,0.5790976333476335,0.0,-0.0,0.0,0.0,70.0
27,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.8633633633633657,0.8633633633633657,0.5784867367367369,0.0,-0.0,0.0,0.0,70.0
28,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.18768768768768673,0.0,0.0,0.0,0.18768768768768673,0.0,0.5747830330330332,0.0,-0.0,0.0,0.0,70.0
29,4.0,0.6,17.28395061728395,38.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,-3.266366366366368,3.266366366366368,0.5710793293293296,0.0,-0.0,0.0,0.0,70.0
30,8.0,1.2,8.641975308641975,43.358024691358025,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,-5.714414414414415,5.714414414414415,0.574018482768483,0.0,-0.0,0.0,0.0,35.0
31,10.756756756756761,1.6135135135135141,8.641975308641975,40.60126793460127,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-7.553153153153154,7.553153153153154,0.5854523452023455,0.0,-0.0,0.0,0.0,35.0
32,14.756756756756761,2.213513513513514,8.641975308641975,36.60126793460127,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,-6.953153153153153,6.953153153153153,0.6014643929643932,0.0,-0.0,0.0,0.0,35.0
33,10.756756756756761,1.6135135135135141,8.641975308641975,40.60126793460127,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-5.901501501501501,5.901501501501501,0.6241192978692982,0.0,-0.0,0.0,0.0,35.0
34,6.756756756756761,1.013513513513514,17.28395061728395,35.95929262595929,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.640131345631346,0.0,-0.0,0.0,0.0,70.0
35,5.7557557557557715,0.8633633633633657,17.28395061728395,36.96029362696028,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6476486843986847,0.0,-0.0,0.0,0.0,70.0
36,9.755755755755771,1.4633633633633656,17.28395061728395,32.96029362696028,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,-1.6522522522522518,1.6522522522522518,0.6535036465036469,0.0,-0.0,0.0,0.0,70.0
37,10.0,1.5,17.28395061728395,32.71604938271605,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,-5.66966966966967,5.66966966966967,0.6660014657514661,0.0,-0.0,0.0,0.0,70.0
38,14.0,2.1,17.28395061728395,28.71604938271605,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,1.7763568394002505e-15,0.0,-10.730330330330332,10.730330330330332,0.6789049049049053,4.999999999999998,0.0,4.999999999999998,4.999999999999998,70.0
39,15.999999999999917,2.3999999999999875,17.28395061728395,26.716049382716136,0.0,0.0,0.8999999999999875,0.0,0.8999999999999875,0.0,0.0,0.0,0.0,-8.927927927927929,8.927927927927929,0.6984512012012016,4.100000000000012,0.0,4.100000000000012,4.100000000000012,70.0
40,11.999999999999917,1.7999999999999874,17.28395061728395,30.716049382716136,0.0,0.0,0.8999999999999875,0.0,0.8999999999999875,0.0,0.0,1.3322676295501878e-15,0.0,-2.170570570570572,2.170570570570572,0.7213189260689263,4.100000000000013,0.0,4.100000000000013,4.100000000000013,70.0
41,7.9999999999999165,1.1999999999999875,17.28395061728395,34.716049382716136,0.0,0.0,0.8999999999999875,0.0,0.8999999999999875,0.0,0.0,0.0,6.661338147750939e-16,-1.4192192192192223,1.4192192192192223,0.7375437937937939,4.100000000000013,0.0,4.100000000000013,4.100000000000013,70.0
42,3.9999999999999165,0.5999999999999874,25.925925925925927,30.07407407407416,0.0,0.0,0.5999999999999874,0.0,0.5999999999999874,1.4333333333333194,0.5999999999999874,0.0,0.5999999999999872,1.4333333333333194,0.0,0.7471258043758044,0.0,-0.0,0.0,0.0,105.0
43,4.0,0.6,25.925925925925927,30.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.4432899320127035e-15,-0.969069069069068,0.969069069069068,0.7482131059631059,0.0,-0.0,0.0,0.0,105.0
44,8.0,1.2,25.925925925925927,26.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,-0.6693693693693703,0.6693693693693703,0.7493004075504075,0.0,-0.0,0.0,0.0,105.0
45,4.454454454454459,0.6681681681681688,25.925925925925927,29.619619619619616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.7570305662805663,0.0,-0.0,0.0,0.0,105.0
46,5.45545545545546,0.8183183183183189,25.925925925925927,28.618618618618616,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.758872586872587,0.0,-0.0,0.0,0.0,105.0
47,4.0,0.6,25.925925925925927,30.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,-1.4195195195195183,1.4195195195195183,0.7623769841269843,0.0,-0.0,0.0,0.0,105.0
48,6.0,0.8999999999999999,25.925925925925927,28.074074074074076,0.0,0.0,0.9,0.0,0.8999999999999999,10.037537537537537,0.0,0.0,0.0,10.037537537537537,0.0,0.7634642857142859,4.1,0.0,4.1,4.1,105.0
49,6.0,0.8999999999999999,25.925925925925927,28.074074074074076,0.0,0.0,0.9,0.0,0.8999999999999999,8.385885885885884,0.0,0.0,0.0,8.385885885885884,0.0,0.767873015873016,4.1,0.0,4.1,4.1,105.0
50,6.0,0.8999999999999999,25.925925925925927,28.074074074074076,0.0,0.0,0.9,0.0,0.8999999999999999,12.28978978978979,0.0,0.0,0.0,12.28978978978979,0.0,0.7722817460317464,4.1,0.0,4.1,4.1,105.0
