period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
31,15.333333333333332,2.3,8.641975308641975,36.0246913580247,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6829367701021078,1400.020378709321,20.40816326530614,0.0,0.0,1.6653345369377348e-16,0.6861552028218695,720.4629629629629,0.0,0.0,0.20000000000000018,20.000000000000018,0.6978849422366031,0.0,-0.0,0.0,0.0,35.0
32,15.333333333333332,2.3,8.641975308641975,36.0246913580247,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6850065019305017,1404.2633289575285,20.408163265306122,0.0,-0.0,0.0,0.7052028218694886,740.462962962963,0.0,0.0,0.2,20.0,0.7214973760990369,0.0,-0.0,0.0,0.0,35.0
33,11.333333333333332,1.6999999999999997,8.641975308641975,40.0246913580247,0.0,0.0,0.0,0.0,-0.0,0.0,0.390990990990991,0.0,0.0,6.661338147750939e-16,0.390990990990991,0.0,0.6889551296059622,1412.3580156922224,20.40816326530619,0.0,0.0,6.106226635438361e-16,0.7242504409171077,760.462962962963,0.0,0.0,0.20000000000000062,20.000000000000064,0.7451098099614708,0.0,-0.0,0.0,0.0,35.0
34,7.333333333333333,1.0999999999999999,17.28395061728395,17.74437182280312,17.638344226579598,0.0,0.0,0.0,-0.0,0.0,5.691891891891894,0.0,0.0,8.881784197001252e-16,5.691891891891894,0.0,0.6929037572814226,1420.4527024269164,20.408163265306122,0.0,-0.0,0.0,0.7432980599647268,780.462962962963,112.44444444444494,0.10708994708994757,0.2,20.0,0.7620793866810476,0.0,-0.0,0.0,0.0,70.0
35,3.3333333333333335,0.5,17.28395061728395,39.382716049382715,0.0,0.0,0.0,0.0,-0.0,0.0,5.181981981981981,0.0,8.881784197001252e-16,0.0,5.181981981981981,0.0,0.6954745280023675,1425.7227824048534,20.408163265306122,0.0,-0.0,0.0,0.6552557319223983,688.0185185185181,0.0,0.0,0.2,20.0,0.7667746092145054,0.0,-0.0,0.0,0.0,70.0
36,0.0,0.0,17.28395061728395,0.0,42.71604938271605,0.0,0.0,0.0,-0.0,0.0,3.3306306306306297,0.0,0.0,8.881784197001252e-16,3.3306306306306297,0.0,0.6967927014919347,1428.4250380584663,20.408163265306122,0.0,-0.0,0.0,0.6743033509700174,708.0185185185182,272.31481481481484,0.25934744268077603,0.2,20.0,0.7686066197965158,0.0,-0.0,0.0,0.0,70.0
37,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,0.8981981981981981,0.0,6.661338147750939e-16,0.0,0.8981981981981981,0.0,0.6979856152583642,1430.8705112796467,20.408163265306122,0.0,-0.0,0.0,0.43400352733686043,455.70370370370347,0.0,0.0,0.2,20.0,0.7557494769393729,0.0,-0.0,0.0,0.0,70.0
38,3.3213213213213018,0.4981981981981952,25.925925925925927,30.752752752752773,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,-3.552713678800501e-15,3.552713678800501e-15,0.7010574248718603,1437.1677209873135,20.408163265306122,0.0,-0.0,0.0,0.45305114638447946,475.7037037037034,0.0,0.0,0.2,20.0,0.7520457732356693,0.0,-0.0,0.0,0.0,105.0
39,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,0.9432432432432449,0.0,0.0,2.886579864025407e-15,0.9432432432432449,0.0,0.7075112470100762,1450.3980563706561,20.408163265306122,0.0,-0.0,0.0,0.4720987654320985,495.7037037037034,0.0,0.0,0.2,20.0,0.7520059834458794,0.0,-0.0,0.0,0.0,105.0
40,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,5.357657657657658,0.0,8.881784197001252e-16,0.0,5.357657657657658,0.0,0.7228585094910739,1481.8599444567014,20.408163265306122,0.0,-0.0,0.0,0.49114638447971753,515.7037037037035,0.0,0.0,0.2,20.0,0.7464504278903239,0.0,-0.0,0.0,0.0,105.0
