period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
33,11.333333333333332,1.6999999999999997,8.641975308641975,12.024691358024693,28.0,0.0,0.0,0.0,-0.0,0.0,0.3909909909909892,0.0,1.1657341758564144e-15,0.0,0.3909909909909892,0.0,0.6889551296059617,1412.3580156922214,20.408163265306122,0.0,-0.0,0.0,0.2090526752722034,219.50530903581355,178.5,0.17,0.2,20.0,0.7210952919232929,0.0,-0.0,0.0,0.0,35.0
34,13.333333333333334,2.0,8.641975308641975,38.02469135802469,0.0,0.0,0.0,0.9000000000000001,0.0,0.9000000000000001,5.691891891891897,0.0,0.0,4.440892098500626e-15,5.691891891891897,0.0,0.6929037572814222,1420.4527024269155,142.85714285714286,1.2,0.0,1.2,0.05810029431982244,61.00530903581357,0.0,0.0,1.4,140.0,0.7320648686428697,2.900000000000001,0.0,2.900000000000001,2.900000000000001,35.0
35,9.333333333333334,1.4000000000000001,8.641975308641975,42.02469135802469,0.0,0.0,0.0,0.9,0.0,0.9,5.181981981981981,0.0,8.881784197001252e-16,0.0,5.181981981981981,0.0,0.6357433184453736,1303.273802813016,142.85714285714286,1.2,0.0,1.2,0.19143362765315575,201.00530903581353,0.0,0.0,1.4,140.0,0.7523558739338749,2.9,0.0,2.9,2.9,35.0
36,6.0,0.8999999999999999,8.641975308641975,45.358024691358025,0.0,0.0,0.0,0.9,0.0,0.8999999999999999,3.3306306306306297,0.0,0.0,8.881784197001252e-16,3.3306306306306297,0.0,0.5773302823779473,1183.5270788747919,142.85714285714286,1.2,0.0,1.2,0.32476696098648905,341.0053090358135,0.0,0.0,1.4,140.0,0.766004022082023,2.899999999999999,0.0,2.899999999999999,2.899999999999999,35.0
37,2.0,0.3,17.28395061728395,40.71604938271605,0.0,0.0,0.0,0.3,0.0,0.3,1.1981981981981988,0.3000000000000007,0.0,0.30000000000000004,1.1981981981981988,0.0,0.5187919865873831,1063.5235725041355,20.408163265306122,0.0,-0.0,0.0,0.45810029431982235,481.00530903581347,0.0,0.0,0.2,20.0,0.7741164559444569,0.0,-0.0,0.0,0.0,70.0
38,3.3213213213213018,0.4981981981981952,25.925925925925927,2.7527527527527744,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5218637962008792,1069.8207822118025,20.40816326530649,0.0,0.0,3.608224830031759e-15,0.4771479133674414,501.00530903581347,178.5,0.17,0.20000000000000362,20.000000000000362,0.7737341808121818,0.0,-0.0,0.0,0.0,105.0
39,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,0.9432432432432449,0.0,0.0,2.886579864025407e-15,0.9432432432432449,0.0,0.5283176183390949,1083.0511175951444,20.408163265306122,0.0,-0.0,0.0,0.3261955324150608,342.5053090358138,0.0,0.0,0.2,20.0,0.7676943910223919,0.0,-0.0,0.0,0.0,105.0
40,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,6.557657657657657,1.2000000000000006,0.0,1.1999999999999984,6.557657657657657,0.0,0.5436648808200926,1114.5130056811897,142.85714285714286,1.2,0.0,1.2,0.3452431514626798,362.5053090358138,0.0,0.0,1.4,140.0,0.7621388354668364,0.0,-0.0,0.0,0.0,105.0
41,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,6.168468468468465,0.0,8.881784197001252e-16,0.0,6.168468468468465,0.0,0.4972767781738924,1019.4173952564794,20.408163265306122,0.0,-0.0,0.0,0.4785764847960131,502.50530903581375,0.0,0.0,0.2,20.0,0.7565832799112808,0.0,-0.0,0.0,0.0,105.0
42,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,7.699999999999999,0.0,8.881784197001252e-16,0.0,7.699999999999999,0.0,0.5044821586509348,1034.1884252344164,20.408163265306122,0.0,-0.0,0.0,0.49762410384363215,522.5053090358138,0.0,0.0,0.2,20.0,0.7510277243557253,0.0,-0.0,0.0,0.0,105.0
43,0.0,0.0,25.925925925925927,6.074074074074076,28.0,0.0,0.0,0.0,-0.0,0.0,6.258558558558558,0.0,8.881784197001252e-16,0.0,6.258558558558558,0.0,0.5105602016197374,1046.6484133204615,20.408163265306122,0.0,-0.0,0.0,0.5166717228912512,542.5053090358138,178.5,0.17,0.2,20.0,0.7454721688001698,0.0,-0.0,0.0,0.0,105.0
44,4.0,0.6,25.925925925925927,30.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,6.67837837837838,0.0,0.0,2.6645352591003757e-15,6.67837837837838,0.0,0.5145088292951978,1054.7431000551555,20.408163265306122,0.0,-0.0,0.0,0.36571934193887023,384.00530903581375,0.0,0.0,0.2,20.0,0.7339166132446142,0.0,-0.0,0.0,0.0,105.0
